,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
181,pyzx,50.0,3.0,default/qubits/i_25_num_qubits_3,58.0,43.0,7.0,65.0,0.0,0.0,-0.04331469535827637,14.0
182,default,50.0,3.0,default/qubits/i_26_num_qubits_3,55.0,40.0,17.0,72.0,0.0,0.0,-0.044821977615356445,10.0
183,tket,50.0,3.0,default/qubits/i_26_num_qubits_3,23.0,18.0,5.0,28.0,0.0,0.0,-0.041055917739868164,5.0
184,qiskit,50.0,3.0,default/qubits/i_26_num_qubits_3,53.0,40.0,17.0,70.0,0.0,0.0,-0.04487109184265137,8.0
185,tpar,50.0,3.0,default/qubits/i_26_num_qubits_3,49.0,34.0,5.0,54.0,0.0,0.0,-0.04339408874511719,7.0
186,voqc,50.0,3.0,default/qubits/i_26_num_qubits_3,52.0,38.0,5.0,57.0,0.0,0.0,-0.04356670379638672,6.0
187,qfast,50.0,3.0,default/qubits/i_26_num_qubits_3,26.0,27.0,12.0,38.0,0.0,0.0,-0.10051679611206055,6.0
188,pyzx,50.0,3.0,default/qubits/i_26_num_qubits_3,40.0,34.0,5.0,45.0,0.0,0.0,-0.04188108444213867,14.0
189,default,50.0,3.0,default/qubits/i_27_num_qubits_3,66.0,46.0,16.0,82.0,0.0,0.0,-0.04558253288269043,12.0
190,tket,50.0,3.0,default/qubits/i_27_num_qubits_3,45.0,35.0,8.0,53.0,0.0,0.0,-0.10145688056945801,8.0
191,qiskit,50.0,3.0,default/qubits/i_27_num_qubits_3,64.0,44.0,16.0,80.0,0.0,0.0,-0.045346736907958984,10.0
192,tpar,50.0,3.0,default/qubits/i_27_num_qubits_3,72.0,53.0,8.0,80.0,0.0,0.0,-0.04655909538269043,26.0
193,voqc,50.0,3.0,default/qubits/i_27_num_qubits_3,109.0,73.0,8.0,117.0,0.0,0.0,-0.0490267276763916,10.0
